1 24 22 24 
1 1 1 1 1 Doe John 1 1970 1 1 test=20contact 2 1 1 1 +491234567890 2 1 2 +498976543210 
1 2 1 1 1 =E7=8E=8B =E5=BC=A0 1 1970 1 1 Chinese=20name 0 
1 3 1 1 1 =D0=98=D0=B2=D0=B0=D0=BD=D0=BE=D0=B2 =D0=98=D0=B2=D0=B0=D0=BD 1 1970 1 1 Russian=20name 0 
1 4 1 1 1 M=C3=BCller Markus 1 1970 1 1 German=20name 0 
1 5 2 1 2 M=C3=BCller Laura 1 1970 1 11 German=20female=20name 1 3 1 1 +4930987654321 
1 6 2 1 2 Schmidt Emilia 1 1971 2 12 German=20female=20name 1 4 1 1 +4940987654321 
1 7 2 1 2 Schneider Lina 1 1972 3 13 German=20female=20name 1 5 1 1 +4989987654321 
1 8 2 1 2 Fischer Lena 1 1973 4 14 German=20female=20name 1 6 1 1 +49221987654321 
1 9 2 1 2 Weber Julia 1 1974 5 15 German=20female=20name 1 7 1 1 +49211987654321 
1 10 2 1 2 Meyer Lea 1 1975 6 16 German=20female=20name 1 8 1 1 +4969987654321 
1 11 2 1 2 Wagner Anna 1 1976 7 17 German=20female=20name 1 9 1 1 +49421987654321 
1 12 2 1 2 Becker Lara 1 1977 8 18 German=20female=20name 1 10 1 1 +49711987654321 
1 13 2 1 2 Schulz Elena 1 1978 9 19 German=20female=20name 1 11 1 1 +49351987654321 
1 14 2 1 2 Schwarz Sarah 1 1979 10 8 German=20female=20name 1 12 1 1 +49201987654321 
1 15 2 1 1 Hoffmann Liam 1 1970 1 11 German=20male=20name 1 13 1 2 +491511123456789 
1 16 2 1 1 Sch=C3=A4fer Jonas 1 1971 2 12 German=20male=20name 1 14 1 2 +491520123456789 
1 17 2 1 1 Koch Julian 1 1972 3 13 German=20male=20name 1 15 1 2 +491573123456789 
1 18 2 1 1 Bauer Tim 1 1973 4 14 German=20male=20name 1 16 1 2 +491590123456789 
1 19 2 1 1 Richter Linus 1 1974 5 15 German=20male=20name 1 17 1 2 +491512123456789 
1 20 2 1 1 Klein Milan 1 1975 6 16 German=20male=20name 1 18 1 2 +491522123456789 
1 21 2 1 1 Wolf Elias 1 1976 7 17 German=20male=20name 1 19 1 2 +491575123456789 
1 22 2 1 1 Schr=C3=B6der Michael 1 1977 8 18 German=20male=20name 1 20 1 2 +49176123456789 
1 23 2 1 1 Neumann Luca 1 1978 9 19 German=20male=20name 1 21 1 2 +49175123456789 
1 24 2 1 1 Zimmermann Levi 1 1979 10 8 German=20male=20name 1 22 1 2 +49163123456789 
